Fecha,TCR1
30/11/2007,7.68610,7.68610
1/12/2007,7.68610,7.68610
2/12/2007,7.68610,7.68610
3/12/2007,7.67994,7.67994
4/12/2007,7.67224,7.67224
5/12/2007,7.66814,7.66814
6/12/2007,7.65402,7.65402
7/12/2007,7.63734,7.63734
8/12/2007,7.63734,7.63734
9/12/2007,7.63734,7.63734
10/12/2007,7.62403,7.62403
11/12/2007,7.60843,7.60843
12/12/2007,7.61764,7.61764
13/12/2007,7.61116,7.61116
14/12/2007,7.60302,7.60302
15/12/2007,7.60302,7.60302
16/12/2007,7.60302,7.60302
17/12/2007,7.60422,7.60422
18/12/2007,7.59981,7.59981
19/12/2007,7.61023,7.61023
20/12/2007,7.63875,7.63875
21/12/2007,7.64176,7.64176
22/12/2007,7.64176,7.64176
23/12/2007,7.64176,7.64176
24/12/2007,7.64309,7.64309
25/12/2007,7.64309,7.64309
26/12/2007,7.63211,7.63211
27/12/2007,7.62134,7.62134
28/12/2007,7.61122,7.61122
29/12/2007,7.61122,7.61122
30/12/2007,7.61122,7.61122
31/12/2007,7.63101,7.63101
1/1/2008,7.63101,7.63101
2/1/2008,7.63101,7.63101
3/1/2008,7.64019,7.64019
4/1/2008,7.63609,7.63609
5/1/2008,7.63609,7.63609
6/1/2008,7.63609,7.63609
7/1/2008,7.63226,7.63226
8/1/2008,7.63973,7.63973
9/1/2008,7.65553,7.65553
10/1/2008,7.68890,7.68890
11/1/2008,7.71907,7.71907
12/1/2008,7.71907,7.71907
13/1/2008,7.71907,7.71907
14/1/2008,7.72877,7.72877
15/1/2008,7.70304,7.70304
16/1/2008,7.68727,7.68727
17/1/2008,7.69220,7.69220
18/1/2008,7.70709,7.70709
19/1/2008,7.70709,7.70709
20/1/2008,7.70709,7.70709
21/1/2008,7.69813,7.69813
22/1/2008,7.69513,7.69513
23/1/2008,7.70540,7.70540
24/1/2008,7.72395,7.72395
25/1/2008,7.73652,7.73652
26/1/2008,7.73652,7.73652
27/1/2008,7.73652,7.73652
28/1/2008,7.73495,7.73495
29/1/2008,7.74238,7.74238
30/1/2008,7.74661,7.74661
31/1/2008,7.78129,7.78129
1/2/2008,7.78252,7.78252
2/2/2008,7.78252,7.78252
3/2/2008,7.78252,7.78252
4/2/2008,7.77709,7.77709
5/2/2008,7.76164,7.76164
6/2/2008,7.73910,7.73910
7/2/2008,7.73875,7.73875
8/2/2008,7.74154,7.74154
9/2/2008,7.74154,7.74154
10/2/2008,7.74154,7.74154
11/2/2008,7.74798,7.74798
12/2/2008,7.74284,7.74284
13/2/2008,7.74186,7.74186
14/2/2008,7.73838,7.73838
15/2/2008,7.73425,7.73425
16/2/2008,7.73425,7.73425
17/2/2008,7.73425,7.73425
18/2/2008,7.72685,7.72685
19/2/2008,7.71164,7.71164
20/2/2008,7.70540,7.70540
21/2/2008,7.70555,7.70555
22/2/2008,7.70326,7.70326
23/2/2008,7.70326,7.70326
24/2/2008,7.70326,7.70326
25/2/2008,7.70594,7.70594
26/2/2008,7.70539,7.70539
27/2/2008,7.70995,7.70995
28/2/2008,7.72685,7.72685
29/2/2008,7.70987,7.70987
1/3/2008,7.70987,7.70987
2/3/2008,7.70987,7.70987
3/3/2008,7.69561,7.69561
4/3/2008,7.68176,7.68176
5/3/2008,7.67462,7.67462
6/3/2008,7.67640,7.67640
7/3/2008,7.67742,7.67742
8/3/2008,7.67742,7.67742
9/3/2008,7.67742,7.67742
10/3/2008,7.67956,7.67956
11/3/2008,7.67636,7.67636
12/3/2008,7.67348,7.67348
13/3/2008,7.66787,7.66787
14/3/2008,7.65591,7.65591
15/3/2008,7.65591,7.65591
16/3/2008,7.65591,7.65591
17/3/2008,7.63356,7.63356
18/3/2008,7.60930,7.60930
19/3/2008,7.60045,7.60045
20/3/2008,7.60045,7.60045
21/3/2008,7.60045,7.60045
22/3/2008,7.60045,7.60045
23/3/2008,7.60045,7.60045
24/3/2008,7.60379,7.60379
25/3/2008,7.60490,7.60490
26/3/2008,7.60738,7.60738
27/3/2008,7.61344,7.61344
28/3/2008,7.62561,7.62561
29/3/2008,7.62561,7.62561
30/3/2008,7.62561,7.62561
31/3/2008,7.61489,7.61489
1/4/2008,7.60218,7.60218
2/4/2008,7.60023,7.60023
3/4/2008,7.60022,7.60022
4/4/2008,7.59693,7.59693
5/4/2008,7.59693,7.59693
6/4/2008,7.59693,7.59693
7/4/2008,7.58922,7.58922
8/4/2008,7.58550,7.58550
9/4/2008,7.58111,7.58111
10/4/2008,7.57932,7.57932
11/4/2008,7.57896,7.57896
12/4/2008,7.57896,7.57896
13/4/2008,7.57896,7.57896
14/4/2008,7.57179,7.57179
15/4/2008,7.56100,7.56100
16/4/2008,7.55354,7.55354
17/4/2008,7.55024,7.55024
18/4/2008,7.55003,7.55003
19/4/2008,7.55003,7.55003
20/4/2008,7.55003,7.55003
21/4/2008,7.54463,7.54463
22/4/2008,7.53099,7.53099
23/4/2008,7.51598,7.51598
24/4/2008,7.50856,7.50856
25/4/2008,7.49233,7.49233
26/4/2008,7.49233,7.49233
27/4/2008,7.49233,7.49233
28/4/2008,7.48606,7.48606
29/4/2008,7.48624,7.48624
30/4/2008,7.48597,7.48597
1/5/2008,7.48597,7.48597
2/5/2008,7.48184,7.48184
3/5/2008,7.48184,7.48184
4/5/2008,7.48184,7.48184
